Регион,Нацпроект,Назначено,Исполнено,Процент исполнения
Запорожская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Запорожская область,"Национальный проект ""Демография""",-,-,0.0
Запорожская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Запорожская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Запорожская область,"Национальный проект ""Беспилотные авиационные системы""",-,-,0.0
Запорожская область,"Национальный проект ""Продолжительная и активная жизнь""",610.75,0,0.0
Запорожская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",0.34,0,0.0
Запорожская область,"Национальный проект ""Инфраструктура для жизни""",488.49,0,0.0
Запорожская область,"Национальный проект ""Кадры""",-,-,0.0
Запорожская область,"Национальный проект ""Туризм и гостеприимство""",113.64,0,0.0
Запорожская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Запорожская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Запорожская область,"Национальный проект ""Экологическое благополучие""",167.19,0,0.0
Запорожская область,"Национальный проект ""Эффективная и конкурентная экономика""",16.01,0,0.0
Запорожская область,"ациональный проект ""Молодежь и дети""",767.01,60.45,7.88
Запорожская область,"Национальный проект ""Семья""",1284.59,15.7,1.22
Луганская Народная Республика,Всего в рамках национальных проектов,5632.28,597.8,10.61
Луганская Народная Республика,"Национальный проект ""Образование""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Экология""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Производительность труда""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Здравоохранение""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Демография""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Беспилотные авиационные системы""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Продолжительная и активная жизнь""",443.12,22.35,5.04
Луганская Народная Республика,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
Луганская Народная Республика,"Национальный проект ""Инфраструктура для жизни""",1360.76,60.55,4.45
Луганская Народная Республика,"Национальный проект ""Кадры""",-,-,0.0
