Регион,Нацпроект,Назначено,Исполнено,Процент исполнения
Новгородская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Новгородская область,"Национальный проект ""Беспилотные авиационные системы""",29.25,0,0.0
Новгородская область,"Национальный проект ""Продолжительная и активная жизнь""",1067.69,16.24,1.52
Новгородская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",5.03,0,0.0
Новгородская область,"Национальный проект ""Инфраструктура для жизни""",6108.33,856.44,14.02
Новгородская область,"Национальный проект ""Кадры""",0.42,0,0.0
Новгородская область,"Национальный проект ""Туризм и гостеприимство""",83.19,0,0.0
Новгородская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Новгородская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Новгородская область,"Национальный проект ""Экологическое благополучие""",77.85,10.1,12.97
Новгородская область,"Национальный проект ""Эффективная и конкурентная экономика""",33.84,13.84,40.89
Новгородская область,"ациональный проект ""Молодежь и дети""",3685.28,980.31,26.6
Новгородская область,"Национальный проект ""Семья""",3862.01,804.33,20.83
Псковская область,Всего в рамках национальных проектов,10783.24,1104.82,10.25
Псковская область,"Национальный проект ""Образование""",-,-,0.0
Псковская область,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Псковская область,"Национальный проект ""Экология""",-,-,0.0
Псковская область,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Псковская область,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Псковская область,"Национальный проект ""Производительность труда""",-,-,0.0
Псковская область,"Национальный проект ""Здравоохранение""",-,-,0.0
Псковская область,"Национальный проект ""Демография""",-,-,0.0
Псковская область,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Псковская область,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Псковская область,"Национальный проект ""Беспилотные авиационные системы""",15.75,0,0.0
Псковская область,"Национальный проект ""Продолжительная и активная жизнь""",997.46,227.65,22.82
Псковская область,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",0.95,0,0.0
Псковская область,"Национальный проект ""Инфраструктура для жизни""",5944.84,555.49,9.34
Псковская область,"Национальный проект ""Кадры""",7.61,0,0.0
Псковская область,"Национальный проект ""Туризм и гостеприимство""",68.69,0,0.0
Псковская область,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Псковская область,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Псковская область,"Национальный проект ""Экологическое благополучие""",12.91,1.21,9.37
Псковская область,"Национальный проект ""Эффективная и конкурентная экономика""",10.82,0,0.0
Псковская область,"ациональный проект ""Молодежь и дети""",2381.5,150.16,6.31
Псковская область,"Национальный проект ""Семья""",1342.7,170.32,12.68
г. Санкт-Петербург,Всего в рамках национальных проектов,48831,10123.49,20.73
г. Санкт-Петербург,"Национальный проект ""Образование""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Жилье и городская среда""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Экология""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Производительность труда""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Здравоохранение""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Демография""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Беспилотные авиационные системы""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Продолжительная и активная жизнь""",6309.83,2151.13,34.09
г. Санкт-Петербург,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Инфраструктура для жизни""",8358.23,212.37,2.54
г. Санкт-Петербург,"Национальный проект ""Кадры""",12.81,0,0.0
г. Санкт-Петербург,"Национальный проект ""Туризм и гостеприимство""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
г. Санкт-Петербург,"Национальный проект ""Экологическое благополучие""",10.96,0,0.0
г. Санкт-Петербург,"Национальный проект ""Эффективная и конкурентная экономика""",152.32,152.32,100.0
г. Санкт-Петербург,"ациональный проект ""Молодежь и дети""",2980.73,896.84,30.09
г. Санкт-Петербург,"Национальный проект ""Семья""",31006.11,6710.83,21.64
Ненецкий автономный округ,Всего в рамках национальных проектов,2161.38,272.52,12.61
Ненецкий автономный округ,"Национальный проект ""Образование""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Экология""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Производительность труда""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Здравоохранение""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Демография""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Беспилотные авиационные системы""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Продолжительная и активная жизнь""",322.75,188.36,58.36
Ненецкий автономный округ,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Инфраструктура для жизни""",1352.56,0,0.0
Ненецкий автономный округ,"Национальный проект ""Кадры""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Туризм и гостеприимство""",30.93,0,0.0
Ненецкий автономный округ,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Экологическое благополучие""",-,-,0.0
Ненецкий автономный округ,"Национальный проект ""Эффективная и конкурентная экономика""",15.54,15.54,100.0
Ненецкий автономный округ,"ациональный проект ""Молодежь и дети""",257.44,47.46,18.44
Ненецкий автономный округ,"Национальный проект ""Семья""",182.16,21.15,11.61
Северо-Кавказский федеральный округ,Всего в рамках национальных проектов,102099.41,15762.32,15.44
Северо-Кавказский федеральный округ,"Национальный проект ""Образование""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Жилье и городская среда""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Экология""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Туризм и индустрия гостеприимства""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Производительность труда""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Здравоохранение""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Демография""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Безопасные качественные дороги""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Международная кооперация и экспорт""",,,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Беспилотные авиационные системы""",33,5.25,15.91
Северо-Кавказский федеральный округ,"Национальный проект ""Продолжительная и активная жизнь""",8863.6,2494.34,28.14
Северо-Кавказский федеральный округ,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",1399.55,0,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Инфраструктура для жизни""",40621.6,4823.35,11.87
Северо-Кавказский федеральный округ,"Национальный проект ""Кадры""",320.75,5.04,1.57
Северо-Кавказский федеральный округ,"Национальный проект ""Туризм и гостеприимство""",722.35,0,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Эффективная транспортная система""",526.32,526.32,100.0
Северо-Кавказский федеральный округ,"Национальный проект ""Экономика данных и цифровая трансформация государства""",1510.2,0,0.0
Северо-Кавказский федеральный округ,"Национальный проект ""Экологическое благополучие""",53.09,6.95,13.08
Северо-Кавказский федеральный округ,"Национальный проект ""Эффективная и конкурентная экономика""",583.89,64.69,11.08
Северо-Кавказский федеральный округ,"ациональный проект ""Молодежь и дети""",25011.76,4069.59,16.27
Северо-Кавказский федеральный округ,"Национальный проект ""Семья""",22453.31,3766.8,16.78
Республика Северная Осетия-Алания,Всего в рамках национальных проектов,9457.57,2122.61,22.44
Республика Северная Осетия-Алания,"Национальный проект ""Образование""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Экология""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Производительность труда""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Здравоохранение""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Демография""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Беспилотные авиационные системы""",2.25,0,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Продолжительная и активная жизнь""",659.41,281.05,42.62
Республика Северная Осетия-Алания,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",149.52,0,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Инфраструктура для жизни""",3401.94,877.6,25.8
Республика Северная Осетия-Алания,"Национальный проект ""Кадры""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Туризм и гостеприимство""",37.38,0,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Республика Северная Осетия-Алания,"Национальный проект ""Экологическое благополучие""",3.05,0.85,27.85
Республика Северная Осетия-Алания,"Национальный проект ""Эффективная и конкурентная экономика""",18.85,0,0.0
Республика Северная Осетия-Алания,"ациональный проект ""Молодежь и дети""",2846.53,636.12,22.35
Республика Северная Осетия-Алания,"Национальный проект ""Семья""",2338.64,326.98,13.98
Чеченская Республика,Всего в рамках национальных проектов,25179.86,3578.38,14.21
Чеченская Республика,"Национальный проект ""Образование""",-,-,0.0
Чеченская Республика,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Чеченская Республика,"Национальный проект ""Экология""",-,-,0.0
Чеченская Республика,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Чеченская Республика,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Чеченская Республика,"Национальный проект ""Производительность труда""",-,-,0.0
Чеченская Республика,"Национальный проект ""Здравоохранение""",-,-,0.0
Чеченская Республика,"Национальный проект ""Демография""",-,-,0.0
Чеченская Республика,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Чеченская Республика,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Чеченская Республика,"Национальный проект ""Беспилотные авиационные системы""",7.5,0,0.0
Чеченская Республика,"Национальный проект ""Продолжительная и активная жизнь""",1070.13,474.5,44.34
Чеченская Республика,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",2.55,0,0.0
Чеченская Республика,"Национальный проект ""Инфраструктура для жизни""",12296.56,510.5,4.15
Чеченская Республика,"Национальный проект ""Кадры""",-,-,0.0
Чеченская Республика,"Национальный проект ""Туризм и гостеприимство""",32.69,0,0.0
Чеченская Республика,"Национальный проект ""Эффективная транспортная система""",526.32,526.32,100.0
Чеченская Республика,"Национальный проект ""Экономика данных и цифровая трансформация государства""",13.01,0,0.0
Чеченская Республика,"Национальный проект ""Экологическое благополучие""",9.55,0,0.0
Чеченская Республика,"Национальный проект ""Эффективная и конкурентная экономика""",407.95,1.21,0.3
Чеченская Республика,"ациональный проект ""Молодежь и дети""",4228.84,623.35,14.74
Чеченская Республика,"Национальный проект ""Семья""",6584.76,1442.5,21.91
Ставропольский край,Всего в рамках национальных проектов,23549.4,4352.91,18.48
Ставропольский край,"Национальный проект ""Образование""",-,-,0.0
Ставропольский край,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Ставропольский край,"Национальный проект ""Экология""",-,-,0.0
Ставропольский край,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Ставропольский край,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Ставропольский край,"Национальный проект ""Производительность труда""",-,-,0.0
Ставропольский край,"Национальный проект ""Здравоохранение""",-,-,0.0
Ставропольский край,"Национальный проект ""Демография""",-,-,0.0
Ставропольский край,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Ставропольский край,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Ставропольский край,"Национальный проект ""Беспилотные авиационные системы""",9,0,0.0
Ставропольский край,"Национальный проект ""Продолжительная и активная жизнь""",3503.09,615.55,17.57
Ставропольский край,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",436.23,0,0.0
Ставропольский край,"Национальный проект ""Инфраструктура для жизни""",7280.67,1793.26,24.63
Ставропольский край,"Национальный проект ""Кадры""",212.29,5.04,2.37
Ставропольский край,"Национальный проект ""Туризм и гостеприимство""",268.09,0,0.0
Ставропольский край,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Ставропольский край,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Ставропольский край,"Национальный проект ""Экологическое благополучие""",5.55,0.79,14.21
Ставропольский край,"Национальный проект ""Эффективная и конкурентная экономика""",52.76,14.51,27.5
Ставропольский край,"ациональный проект ""Молодежь и дети""",6643.81,1074.81,16.18
Ставропольский край,"Национальный проект ""Семья""",5137.9,848.96,16.52
Республика Дагестан,Всего в рамках национальных проектов,22375.19,2569.86,11.49
Республика Дагестан,"Национальный проект ""Образование""",-,-,0.0
Республика Дагестан,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Республика Дагестан,"Национальный проект ""Экология""",-,-,0.0
Республика Дагестан,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Республика Дагестан,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Республика Дагестан,"Национальный проект ""Производительность труда""",-,-,0.0
Республика Дагестан,"Национальный проект ""Здравоохранение""",-,-,0.0
Республика Дагестан,"Национальный проект ""Демография""",-,-,0.0
Республика Дагестан,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Республика Дагестан,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Республика Дагестан,"Национальный проект ""Беспилотные авиационные системы""",1.5,0,0.0
Республика Дагестан,"Национальный проект ""Продолжительная и активная жизнь""",2094.51,509.17,24.31
Республика Дагестан,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",294.78,0,0.0
Республика Дагестан,"Национальный проект ""Инфраструктура для жизни""",10017.32,707.12,7.06
Республика Дагестан,"Национальный проект ""Кадры""",9.95,0,0.0
Республика Дагестан,"Национальный проект ""Туризм и гостеприимство""",175.84,0,0.0
Республика Дагестан,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Республика Дагестан,"Национальный проект ""Экономика данных и цифровая трансформация государства""",1462.01,0,0.0
Республика Дагестан,"Национальный проект ""Экологическое благополучие""",18.72,5.26,28.12
Республика Дагестан,"Национальный проект ""Эффективная и конкурентная экономика""",48.97,48.97,100.0
Республика Дагестан,"ациональный проект ""Молодежь и дети""",5525.71,1000.18,18.1
Республика Дагестан,"Национальный проект ""Семья""",2725.88,299.16,10.97
Республика Ингушетия,Всего в рамках национальных проектов,5341.19,870.73,16.3
Республика Ингушетия,"Национальный проект ""Образование""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Экология""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Производительность труда""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Здравоохранение""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Демография""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Беспилотные авиационные системы""",1.5,0,0.0
Республика Ингушетия,"Национальный проект ""Продолжительная и активная жизнь""",349.65,74.38,21.27
Республика Ингушетия,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Инфраструктура для жизни""",1903.55,284.99,14.97
Республика Ингушетия,"Национальный проект ""Кадры""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Туризм и гостеприимство""",30.3,0,0.0
Республика Ингушетия,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Республика Ингушетия,"Национальный проект ""Экологическое благополучие""",6.06,0,0.0
Республика Ингушетия,"Национальный проект ""Эффективная и конкурентная экономика""",8.5,0,0.0
Республика Ингушетия,"ациональный проект ""Молодежь и дети""",1084.56,149.21,13.76
Республика Ингушетия,"Национальный проект ""Семья""",1957.06,362.15,18.5
Кабардино-Балкарская Республика,Всего в рамках национальных проектов,9494.03,1498.65,15.79
Кабардино-Балкарская Республика,"Национальный проект ""Образование""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Экология""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Производительность труда""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Здравоохранение""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Демография""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Беспилотные авиационные системы""",5.25,5.25,100.0
Кабардино-Балкарская Республика,"Национальный проект ""Продолжительная и активная жизнь""",692.67,423.07,61.08
Кабардино-Балкарская Республика,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",516.48,0,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Инфраструктура для жизни""",3985.36,511.32,12.83
Кабардино-Балкарская Республика,"Национальный проект ""Кадры""",9.24,0,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Туризм и гостеприимство""",81.82,0,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Экономика данных и цифровая трансформация государства""",35.18,0,0.0
Кабардино-Балкарская Республика,"Национальный проект ""Экологическое благополучие""",9.22,0.04,0.46
Кабардино-Балкарская Республика,"Национальный проект ""Эффективная и конкурентная экономика""",32.3,0,0.0
Кабардино-Балкарская Республика,"ациональный проект ""Молодежь и дети""",2525.22,436.87,17.3
Кабардино-Балкарская Республика,"Национальный проект ""Семья""",1601.3,122.09,7.62
Карачаево-Черкесская Республика,Всего в рамках национальных проектов,6702.18,769.19,11.48
Карачаево-Черкесская Республика,"Национальный проект ""Образование""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Жилье и городская среда""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Экология""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Туризм и индустрия гостеприимства""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Производительность труда""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Здравоохранение""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Демография""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Безопасные качественные дороги""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Международная кооперация и экспорт""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Беспилотные авиационные системы""",6,0,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Продолжительная и активная жизнь""",494.13,116.61,23.6
Карачаево-Черкесская Республика,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Инфраструктура для жизни""",1736.21,138.58,7.98
Карачаево-Черкесская Республика,"Национальный проект ""Кадры""",89.27,0,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Туризм и гостеприимство""",96.23,0,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Эффективная транспортная система""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Экономика данных и цифровая трансформация государства""",-,-,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Экологическое благополучие""",0.92,0,0.0
Карачаево-Черкесская Республика,"Национальный проект ""Эффективная и конкурентная экономика""",14.56,0,0.0
Карачаево-Черкесская Республика,"ациональный проект ""Молодежь и дети""",2157.09,149.04,6.91
Карачаево-Черкесская Республика,"Национальный проект ""Семья""",2107.77,364.95,17.31
Сибирский федеральный округ,Всего в рамках национальных проектов,233664.19,34643.62,14.83
Сибирский федеральный округ,"Национальный проект ""Образование""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Жилье и городская среда""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Экология""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Малое и среднее предпринимательство и поддержка индивидуальной предпринимательской инициативы""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Туризм и индустрия гостеприимства""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Производительность труда""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Здравоохранение""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Демография""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Безопасные качественные дороги""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Международная кооперация и экспорт""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Беспилотные авиационные системы""",1324.7,77.42,5.84
Сибирский федеральный округ,"Национальный проект ""Продолжительная и активная жизнь""",30519.56,6141.19,20.12
Сибирский федеральный округ,"Национальный проект ""Технологическое обеспечение продовольственной безопасности""",884.76,0,0.0
Сибирский федеральный округ,"Национальный проект ""Инфраструктура для жизни""",97944.36,10170.61,10.38
Сибирский федеральный округ,"Национальный проект ""Кадры""",1473.5,51.74,3.51
Сибирский федеральный округ,"Национальный проект ""Туризм и гостеприимство""",1595.97,0,0.0
Сибирский федеральный округ,"Национальный проект ""Эффективная транспортная система""",,,0.0
Сибирский федеральный округ,"Национальный проект ""Экономика данных и цифровая трансформация государства""",737.9,59.24,8.03
